Equipo,Fecha 1,Fecha 2,Fecha 3,Fecha 4,Fecha 5,Fecha 6,Fecha 7,Fecha 8,Fecha 9,Fecha 10,Fecha 11,Fecha 12,Fecha 13,Fecha 14,Fecha 15,Fecha 16,Fecha 17,Fecha 18,Fecha 19,Fecha 20,Fecha 21,Fecha 22,Fecha 23,Fecha 24,Fecha 25
Aldosivi,Argentinos Juniors (L),Tigre (V),Huracán (L),Vélez Sarsfield (V),Talleres de Córdoba (L),Newell's Old Boys (V),Godoy Cruz (L),Banfield (V),Atlético Tucumán (L),Independiente (V),River Plate (L),San Martín de Tucumán (V),Racing Club (L),Belgrano (V),San Lorenzo (L),Unión de Santa Fe (V),San Martín de San Juan (V),Defensa y Justicia (L),Colón de Santa Fe (V),Patronato de Paraná (L),Boca Juniors (V),Rosario Central (L),Estudiantes (V),Gimnasia de La Plata (L),CA Lanús (V)
Argentinos Juniors,Aldosivi (V),Unión de Santa Fe (L),Belgrano (V),Colón de Santa Fe (L),Patronato de Paraná (V),Defensa y Justicia (L),Boca Juniors (V),CA Lanús (L),Estudiantes (V),Gimnasia de La Plata (L),Rosario Central (V),Talleres de Córdoba (L),Tigre (V),Newell's Old Boys (V),Banfield (L),Huracán (V),Vélez Sarsfield (L),Godoy Cruz (V),Racing Club (L),Independiente (V),Atlético Tucumán (L),San Lorenzo (V),River Plate (L),San Martín de Tucumán (V),San Martín de San Juan (L)
Atlético Tucumán,Godoy Cruz (L),Newell's Old Boys (V),Independiente (L),River Plate (L),San Lorenzo (V),San Martín de Tucumán (L),Racing Club (V),Belgrano (L),Aldosivi (V),Unión de Santa Fe (L),Defensa y Justicia (V),San Martín de San Juan (L),Patronato de Paraná (V),Colón de Santa Fe (L),Estudiantes (V),Boca Juniors (L),Rosario Central (V),Tigre (L),CA Lanús (V),Gimnasia de La Plata (L),Argentinos Juniors (V),Huracán (L),Talleres de Córdoba (V),Banfield (L),Vélez Sarsfield (V)
Banfield,Belgrano (V),River Plate (L),Defensa y Justicia (V),Racing Club (L),Unión de Santa Fe (V),San Martín de San Juan (L),Patronato de Paraná (V),Aldosivi (L),CA Lanús (V),Boca Juniors (L),Estudiantes (V),Colón de Santa Fe (L),Gimnasia de La Plata (V),Talleres de Córdoba (L),Argentinos Juniors (V),Tigre (L),Huracán (V),Rosario Central (L),Newell's Old Boys (L),Vélez Sarsfield (V),Godoy Cruz (L),San Martín de Tucumán (V),San Lorenzo (L),Atlético Tucumán (V),Independiente (L)
Belgrano,Banfield (L),Godoy Cruz (V),Argentinos Juniors (L),Huracán (V),Newell's Old Boys (L),Independiente (V),Vélez Sarsfield (L),Atlético Tucumán (V),San Martín de Tucumán (L),San Lorenzo (V),Racing Club (L),River Plate (V),Unión de Santa Fe (L),Aldosivi (L),Defensa y Justicia (V),San Martín de San Juan (L),Patronato de Paraná (V),CA Lanús (L),Boca Juniors (V),Colón de Santa Fe (L),Gimnasia de La Plata (V),Estudiantes (L),Tigre (V),Talleres de Córdoba (L),Rosario Central (V)
Boca Juniors,CA Lanús (L),Rosario Central (V),Talleres de Córdoba (L),Gimnasia de La Plata (V),Estudiantes (L),Tigre (V),Argentinos Juniors (L),Vélez Sarsfield (V),Huracán (L),Banfield (V),Newell's Old Boys (L),Godoy Cruz (V),San Lorenzo (L),Racing Club (V),Independiente (L),Atlético Tucumán (V),San Martín de Tucumán (L),River Plate (V),Belgrano (L),Unión de Santa Fe (V),Aldosivi (L),San Martín de San Juan (V),Patronato de Paraná (L),Colón de Santa Fe (V),Defensa y Justicia (L)
CA Lanús,Boca Juniors (V),San Martín de San Juan (L),Colón de Santa Fe (V),Estudiantes (V),Gimnasia de La Plata (L),Rosario Central (V),Talleres de Córdoba (L),Argentinos Juniors (V),Banfield (L),Tigre (V),Huracán (L),Vélez Sarsfield (V),Newell's Old Boys (L),Godoy Cruz (V),River Plate (L),San Martín de Tucumán (V),Independiente (L),Belgrano (V),Atlético Tucumán (L),San Lorenzo (V),Unión de Santa Fe (L),Defensa y Justicia (V),Racing Club (L),Patronato de Paraná (V),Aldosivi (L)
Colón de Santa Fe,Tigre (L),Gimnasia de La Plata (V),CA Lanús (L),Argentinos Juniors (V),Rosario Central (L),Talleres de Córdoba (V),Newell's Old Boys (L),Huracán (V),Independiente (L),Vélez Sarsfield (V),Godoy Cruz (L),Banfield (V),River Plate (L),Atlético Tucumán (V),San Martín de Tucumán (L),San Lorenzo (V),Racing Club (L),Unión de Santa Fe (V),Aldosivi (L),Belgrano (V),San Martín de San Juan (L),Patronato de Paraná (V),Defensa y Justicia (L),Boca Juniors (L),Estudiantes (V)
Defensa y Justicia,Gimnasia de La Plata (L),Talleres de Córdoba (V),Banfield (L),Rosario Central (V),Vélez Sarsfield (L),Argentinos Juniors (V),Huracán (L),Tigre (V),Newell's Old Boys (L),Godoy Cruz (V),Atlético Tucumán (L),Independiente (V),San Martín de Tucumán (L),River Plate (V),Belgrano (L),Racing Club (V),San Lorenzo (L),Aldosivi (V),Unión de Santa Fe (L),San Martín de San Juan (V),Patronato de Paraná (V),CA Lanús (L),Colón de Santa Fe (V),Estudiantes (L),Boca Juniors (V)
Estudiantes,Unión de Santa Fe (V),Patronato de Paraná (L),San Martín de San Juan (V),CA Lanús (L),Boca Juniors (V),Gimnasia de La Plata (L),Rosario Central (L),Talleres de Córdoba (V),Argentinos Juniors (L),Huracán (V),Banfield (L),Tigre (V),Independiente (L),San Lorenzo (V),Atlético Tucumán (L),Vélez Sarsfield (V),Godoy Cruz (L),Newell's Old Boys (V),San Martín de Tucumán (L),River Plate (V),Racing Club (L),Belgrano (V),Aldosivi (L),Defensa y Justicia (V),Colón de Santa Fe (L)
Gimnasia de La Plata,Defensa y Justicia (V),Colón de Santa Fe (L),San Martín de Tucumán (V),Boca Juniors (L),CA Lanús (V),Estudiantes (V),Tigre (L),Rosario Central (V),Talleres de Córdoba (L),Argentinos Juniors (V),Vélez Sarsfield (L),Newell's Old Boys (V),Banfield (L),Independiente (V),Huracán (L),Godoy Cruz (V),Unión de Santa Fe (L),San Lorenzo (V),River Plate (L),Atlético Tucumán (V),Belgrano (L),Racing Club (V),San Martín de San Juan (L),Aldosivi (V),Patronato de Paraná (L)
